product_id,product_name,brand,gender,recommended_age_group,category,subcategory,occasion,style,style_mood,primary_color,secondary_color,season,fabric,fit,sleeve_type,neckline,pattern,embellishment,recommended_body_type,size_options,mrp_inr,discount_percent,final_price_inr,budget_segment,rating,rating_count,stock_qty,return_rate,popularity_score,trend_score,sustainable,bestseller,material_care,search_tags,image_url,product_description
4000,UrbanWeave Black Chinos,UrbanWeave,Men,Teen,Bottomwear,Chinos,Casual,Sporty,Minimal,Black,Gold,Spring,Linen,Regular,NA,NA,Solid,Pleats,Regular,"S,M,L",2490,35,1620,Medium,4.5,353,159,0.08,100,100,Yes,No,Gentle Wash,"black,bottomwear,casual,chinos,linen,men,sporty,teen",https://example.com/images/4000.jpg,comfortable fit with refined detailing; ideal for casual wear with a sporty aesthetic. Made in linen with solid finish.
4007,FableFit Black Chinos,FableFit,Men,Young Adult,Bottomwear,Chinos,Gym,Minimal,Statement,Black,Green,Monsoon,Cotton,Relaxed,NA,NA,Solid,Patchwork,Slim,"M,L,XL,XXL",1400,15,1190,Medium,4.2,1857,45,0.13,100,100,No,No,Hand Wash,"black,bottomwear,chinos,cotton,gym,men,minimal,young_adult",https://example.com/images/4007.jpg,easy-to-style seasonal pick; ideal for gym wear with a minimal aesthetic. Made in cotton with solid finish.
4012,VivaStyle Navy Chinos,VivaStyle,Men,Young Adult,Bottomwear,Chinos,College,Classic,Vintage,Navy,Gold,Autumn,Denim,Slim,NA,NA,Checked,Embroidery,Regular,"M,L,XL,XXL",1280,40,770,Low,3.8,1272,70,0.22,100,100,No,No,Hand Wash,"bottomwear,chinos,classic,college,denim,men,navy,young_adult",https://example.com/images/4012.jpg,elevated everyday essential; ideal for college wear with a classic aesthetic. Made in denim with checked finish.
4017,Velora Grey Chinos,Velora,Men,Young Adult,Bottomwear,Chinos,Casual,Smart Casual,Edgy,Grey,White,All Season,Polyester,Tapered,NA,NA,Checked,Buttons,Slim,"S,M,L",2320,5,2200,Medium,4.6,1571,157,0.07,100,92,No,No,Gentle Wash,"bottomwear,casual,chinos,grey,men,polyester,smart_casual,young_adult",https://example.com/images/4017.jpg,premium finish with modern silhouette; ideal for casual wear with a smart casual aesthetic. Made in polyester with checked finish.
4028,UrbanWeave Grey Chinos,UrbanWeave,Men,Teen,Bottomwear,Chinos,Office,Minimal,Contemporary,Grey,Blue,Spring,Denim,Relaxed,NA,NA,Checked,Embroidery,Slim,"S,M,L,XL",1400,25,1050,Medium,4.0,1535,80,0.07,100,100,Yes,Yes,Dry Clean,"bottomwear,chinos,denim,grey,men,minimal,office,teen",https://example.com/images/4028.jpg,trend-led wardrobe staple; ideal for office wear with a minimal aesthetic. Made in denim with checked finish.
4030,NovaNest Grey Chinos,NovaNest,Men,Young Adult,Bottomwear,Chinos,Office,Classic,Elegant,Grey,Green,All Season,Linen,Tapered,NA,NA,Washed,Ruffles,Regular,"M,L,XL,XXL",2520,30,1760,Medium,4.6,124,13,0.12,100,95,Yes,No,Hand Wash,"bottomwear,chinos,classic,grey,linen,men,office,young_adult",https://example.com/images/4030.jpg,elevated everyday essential; ideal for office wear with a classic aesthetic. Made in linen with washed finish.
4037,Velora Pink Chinos,Velora,Men,Adult,Bottomwear,Chinos,Office,Streetwear,Elegant,Pink,Beige,Summer,Denim,Regular,NA,NA,Checked,Sequins,Athletic,"S,M,L",3530,20,2820,Premium,4.3,1131,95,0.09,100,100,Yes,Yes,Hand Wash,"adult,bottomwear,chinos,denim,men,office,pink,streetwear",https://example.com/images/4037.jpg,comfortable fit with refined detailing; ideal for office wear with a streetwear aesthetic. Made in denim with checked finish.
4045,VivaStyle Red Chinos,VivaStyle,Men,Young Adult,Bottomwear,Chinos,Gym,Smart Casual,Vintage,Red,None,Monsoon,Cotton,Slim,NA,NA,Solid,Ruffles,Curvy,"S,M,L",3260,35,2120,Medium,4.2,2086,83,0.07,100,100,Yes,No,Hand Wash,"bottomwear,chinos,cotton,gym,men,red,smart_casual,young_adult",https://example.com/images/4045.jpg,premium finish with modern silhouette; ideal for gym wear with a smart casual aesthetic. Made in cotton with solid finish.
4048,VivaStyle Beige Chinos,VivaStyle,Men,Adult,Bottomwear,Chinos,College,Smart Casual,Elegant,Beige,Gold,Monsoon,Denim,Tapered,NA,NA,Solid,Ruffles,Athletic,"S,M,L,XL",1830,20,1460,Medium,4.8,1533,132,0.09,100,91,Yes,No,Gentle Wash,"adult,beige,bottomwear,chinos,college,denim,men,smart_casual",https://example.com/images/4048.jpg,lightweight and breathable design; ideal for college wear with a smart casual aesthetic. Made in denim with solid finish.
4056,RootedHue Navy Chinos,RootedHue,Men,Teen,Bottomwear,Chinos,Casual,Streetwear,Contemporary,Navy,Blue,All Season,Cotton,Tapered,NA,NA,Washed,Frill,Slim,"S,M,L,XL",2650,35,1720,Medium,4.6,81,7,0.05,100,100,No,Yes,Machine Wash,"bottomwear,casual,chinos,cotton,men,navy,streetwear,teen",https://example.com/images/4056.jpg,trend-led wardrobe staple; ideal for casual wear with a streetwear aesthetic. Made in cotton with washed finish.
